,name
0,variation
1,syndrome
2,critical
3,width
4,her
5,angiogramurogram
6,proper
7,issue
8,unexplained
9,approximation
10,thought
11,examination
12,reading
13,difficult
14,ara
15,information
16,%
17,stat
18,impression
19,ray
20,stimulating
21,practitioner
22,ends
23,window
24,contrast
25,his
26,development
27,layer
28,cost
29,morning
30,relative
31,ward
32,mural
33,close
34,native
35,measure
36,use
37,term
38,positional
39,postradiation
40,signs
41,files
42,filling
43,factor
44,approach
45,radiology
46,pull
47,failure
48,span
49,symmetry
50,assistant
51,dominance
52,millimeter
53,stringy
54,tunnel
55,thickness
56,traction
57,appropriate
58,endon
59,rest
60,instrumentation
61,tracking
62,repeat
63,combination
64,greatest
65,shows
66,alternative
67,radiographs
68,be
69,decubitus
70,removal
71,definitive
72,sectional
73,useful
74,condition
75,lies
76,breath
77,alignment
78,film
79,smoke
80,image
81,physician
82,delivery
83,standard
84,exit
85,dimension
86,symptoms
87,medicine
88,rate
89,note
90,cause
91,scan
92,position
93,centimeter
94,return
95,special
96,order
97,file
98,rays
99,chin
100,arc
101,comparison
102,threshold
103,double
104,length
105,feature
106,number
107,couple
108,sensitive
109,higher
110,occulta
111,chemo
112,end
113,age
114,identifiable
115,ages
116,trans
117,incipient
118,study
119,ppd
120,ill
121,effect
122,degree
123,part
124,radiation
125,esophagram
126,penetration
127,sequela
128,prompt
129,scatter
130,meter
131,unlikely
132,able
133,images
134,demonstrates
135,beneficial
136,tension
137,consistent
138,incident
139,setting
140,through
141,configuration
142,reserve
143,direct
144,edge
145,diagnosis
146,limitation
147,dependent
148,appearance
149,weight
150,event
151,postinfectious
152,resonance
153,demonstration
154,antibiotic
155,level
156,current
157,hiatus
158,ground
159,asbestos
160,reimaging
161,paget
162,function
163,calcium
164,studies
165,diameter
166,resolution
167,stature
168,fold
169,antibiotics
170,physical
171,corresponding
172,scanning
173,cross
174,great
175,berg
176,reverse
177,modalities
178,occupational
179,interim
180,placement
181,distribution
182,suture
183,levels
184,radiographically
185,sure
186,set
187,determine
188,common
189,clinician
190,bat
191,local
192,series
193,half
194,junction
195,therapy
196,hemoptysis
197,graph
198,available
199,medical
200,consultation
201,features
202,positioning
203,projectional
204,radio
205,direction
206,tun
207,impressio
208,wing
209,visualization
210,total
211,tobacco
212,physiology
213,measures
214,exclude
215,mammogram
216,extension
217,resolve
218,magnetic
219,noncontrast
220,cage
221,mri
222,clinical
223,component
224,pain
225,technical
226,mother
227,cough
228,definition
229,inversus
230,history
231,present
232,expanders
233,pad
234,motion
235,depth
236,general
237,consecutive
238,labor
239,difference
240,overlapping
241,assist
242,fever
243,happy
244,clinic
245,late
246,test
247,ultrasound
248,exposure
249,perl
250,self
251,bed
252,generalized
253,work
254,above
255,record
256,background
257,power
258,followup
259,ester
260,phone
261,following
262,interposition
263,intervention
264,effort
265,resultant
266,unit
267,interpretation
268,extra
269,attention
270,calcite
271,shift
272,stability
273,bulk
274,fixation
275,affect
276,copy
277,resection
278,lie
279,variant
280,element
281,anne
282,adequate
283,near
284,bridging
285,nurse
286,smoker
287,correlation
288,sonogram
289,sickle
290,place
291,illness
292,view
293,case
294,stigma
295,actual
296,significance
297,etiology
298,convenience
299,echocardiogram
300,dominant
301,symptomatology
302,portion
303,cor
304,march
305,heat
306,dose
307,spaces
308,loops
309,intersection
310,staff
311,essential
312,accompanying
313,well
314,cup
315,views
316,remote
317,string
318,care
319,indication
320,pe
321,clothing
322,office
323,call
324,generator
325,date
326,pina
327,initial
328,com
329,loop
330,segment
331,height
332,progression
333,upward
334,time
335,projecting
336,main
337,versus
338,relation
339,tenderness
340,like
341,radiograph
342,section
343,range
344,unenhanced
345,station
346,technologist
347,site
348,cart
349,aspect
350,associated
351,perm
352,findings
353,films
354,basis
355,gram
356,summation
357,reversal
358,point
359,related
360,cluster
361,reflection
362,recurrence
363,material
364,completion
365,doctor
366,conservative
367,sensitivity
368,imaging
369,limits
370,ross
371,sign
372,magnet
373,data
374,demonstrating
375,show
376,value
377,compensatory
378,symptom
379,parent
380,formation
381,hospital
382,laboratory
383,step
384,acuity
385,normalities
386,massive
387,examinations
388,limit
389,clearance
390,sitepower
391,particular
392,bmi
393,optimal
394,visible
395,pair
396,course
397,asia
398,manner
399,spin
400,issues
401,modality
402,situ
403,projection
404,ratio
405,risk
406,developing
407,addition
408,space
409,fine
410,character
411,correct
412,exhibit
413,nonenhanced
414,finding
415,overlap
416,later
417,form
418,voice
419,maker
420,humeri
421,immediate
