,name
0,appears to be suggesting
1,potentially suggesting
2,could not be excluded
3,potentially suggests
4,difficult to exclude
5,could possibly mean
6,could not determine
7,possibly suggesting
8,may not be excluded
9,might be suggesting
10,appears to suggest
11,could not rule out
12,cannot be excluded
13,could not exclude
14,possibly suggests
15,may be suggesting
16,may not rule out
17,can not exclude
18,cannot rule out
19,may not exclude
20,might suggest
21,could suggest
22,indeterminate
23,questionable
24,undetermined
25,may indicate
26,question of
27,may suggest
28,indefinite
29,uncertain
30,unclear
31,unknown
32,vague
