,name
0,set of anterior labial nerves
1,wall of arachnoid granulation
2,rootlet of first lumbar nerve
3,right posterior perirenal fat
4,synovial cavity of knee joint
5,right supramammillary nucleus
6,tuber of vermis of cerebellum
7,distal zone of biceps femoris
8,posterior surface of duodenum
9,brodmann area 23 of precuneus
10,muscle body of left sartorius
11,subdivision of back of thorax
12,right gastric lymphatic chain
13,set of corpus callosum fibers
14,set of supraclavicular nerves
15,muscle body of rhomboid minor
16,left fourth intercostal nerve
17,posterior hypothalamic region
18,left inferior parietal lobule
19,left second intercostal nerve
20,compartment of abdomen proper
21,tendon of multifidus lumborum
22,greater wing of sphenoid bone
23,anterior intercavernous sinus
24,tendon of right supraspinatus
25,left ventral trigeminal tract
26,right third intercostal nerve
27,medial talocalcaneal ligament
28,left anterior ampullary nerve
29,lumen of pancreatic duct tree
30,right anterior ciliary artery
31,posterolateral corner of knee
32,epithelium of ascending colon
33,nipple of right female breast
34,tendon of left gluteus medius
35,left deep infrapatellar bursa
36,left inguinal part of abdomen
37,palm compartment of left hand
38,c3 branch to splenius capitis
39,t4 branch to right multifidus
40,lateral sural cutaneous nerve
41,inferior systemic venous tree
42,lumbar segment of spinal cord
43,right dorsolateral fasciculus
44,endometrium of zone of uterus
45,nerve to right lumbar rotator
46,medial surface of right ovary
47,left medial lemniscus of pons
48,set of interspinales thoracis
49,white matter of angular gyrus
50,posterior deep temporal nerve
51,muscle layer of urinary tract
52,lumen of inferior major calyx
53,dorsal part of central lobule
54,unstratified part of detrusor
55,nerve to left brachioradialis
56,deep layer of cervical fascia
57,internal surface of intestine
58,motor nucleus of facial nerve
59,capsule of atlantoaxial joint
60,fourth lumbrical of left hand
61,nerve to right rhomboid minor
62,t10 branch to left multifidus
63,lateral supraclavicular nerve
64,neural network of soft palate
65,belly of right pronator teres
66,superior nasal retinal venule
67,left lumbar sympathetic trunk
68,c5 root of right median nerve
69,nucleus of basal part of pons
70,region of visceral peritoneum
71,vasculature of region of limb
72,l4 root of left femoral nerve
73,tendon of left pronator teres
74,inner region of renal pyramid
75,tendon of left biceps femoris
76,s5 branch to right multifidus
77,segment of hippocampus proper
78,articular cartilage of sacrum
79,nerve to interspinales muscle
80,tendon of left tensor tympani
81,set of thoracic inlet vessels
82,t3 branch to spinalis capitis
83,right ninth thoracic ganglion
84,mucosa of uterine tube proper
85,set of lesser palatine nerves
86,right lateral pectoral region
87,posterior short insular gyrus
88,body of left lateral meniscus
89,right ninth intercostal nerve
90,left inferior olivary complex
91,right radiate carpal ligament
92,gastric branch of vagus nerve
93,pathway structure of neuraxis
94,subdivision of pleural cavity
95,distal region of left deltoid
96,nerve to transverse arytenoid
97,t3 branch to right multifidus
98,intrahepatic bile duct branch
99,right first intercostal nerve
100,right lateral olfactory stria
101,gracile fasciculus of medulla
102,dorsal external arcuate fiber
103,inferior bulb of jugular vein
104,musculature of back of thorax
105,right acromioclavicular joint
106,medial region of right breast
107,c6 branch to spinalis capitis
108,medial angle of right scapula
109,lumen of superior major calyx
110,root of supraclavicular nerve
111,anterior perforated substance
112,right inferior thyroid artery
113,t6 branch to spinalis capitis
114,anterior intermuscular septum
115,left eighth intercostal nerve
116,superior recess of lesser sac
117,trunk of common fibular nerve
118,mucosa of right ureter proper
119,s1 branch to right multifidus
120,branch of pericallosal artery
121,trunk of sixth thoracic nerve
122,anterior root of lumbar nerve
123,artery of left tuber cinereum
124,tendon of right gastrocnemius
125,left pterygopalatine ganglion
126,tributary of transverse sinus
127,craniospinal sensory ganglion
128,tendon of multifidus thoracis
129,segment of midbrain tegmentum
130,surface of left temporal lobe
131,muscle body of biceps brachii
132,tendinous arch of left soleus
133,subdivision of epidural space
134,c4 branch to right multifidus
135,corpus luteum of menstruation
136,orbital plate of ethmoid bone
137,serosa of right lobe of liver
138,retropyloric lymphatic vessel
139,l1 branch to right multifidus
140,muscle body of right platysma
141,cell part cluster of neuraxis
142,squamous part of frontal bone
143,right sixth intercostal nerve
144,juxta-jejunal lymphatic chain
145,nerve to depressor supercilii
146,left interventricular foramen
147,c1 branch to splenius capitis
148,flexor hallucis longus tendon
149,left eighth thoracic ganglion
150,left anterior parietal artery
151,zone of trunk of facial nerve
152,mucosa of body of gallbladder
153,left circumflex scapular vein
154,left superior laryngeal nerve
155,thoracic vertebral arch joint
156,scaphotrapeziotrapezoid joint
157,branch of dental nerve plexus
158,cervical segment of pia mater
159,trunk of tenth thoracic nerve
160,fourth sacral spinal ganglion
161,white matter of parietal lobe
162,right lateral thoracic artery
163,right infracolic space proper
164,gray matter layer of neuraxis
165,left half of apex of prostate
166,lumen of inferior minor calyx
167,vagal part of accessory nerve
168,c3 branch to levator scapulae
169,gray matter of occipital pole
170,set of periventricular fibers
171,left cochlear nuclear complex
172,compartment of female abdomen
173,appendicular lymphatic vessel
174,c2 branch to splenius capitis
175,metaphysis of metatarsal bone
176,abdominal part of greater sac
177,nerve to latissimus dorsi (1)
178,t1 branch to splenius capitis
179,left median antebrachial vein
180,root of iliohypogastric nerve
181,brodmann area 19 of precuneus
182,left coraco-acromial ligament
183,root of great auricular nerve
184,nonarticular part of acromion
185,set of spinal nerve fasciculi
186,set of interspinales cervicis
187,nail bed proper of second toe
188,extensor digiti minimi muscle
189,subdivision of genital system
190,surface of supraspinous fossa
191,neural network of right wrist
192,lateral condyle of left femur
193,nerve to cuneonavicular joint
194,left extensor hallucis longus
195,distal tendon of left deltoid
196,anterolateral auditory cortex
197,surface of right frontal lobe
198,muscle layer of sigmoid colon
199,submucosa of zone of duodenum
200,left greater vestibular gland
201,pectoral part proper of chest
202,ampulla of right uterine tube
203,muscle body of left pectineus
204,pectoral part of female chest
205,nerve to left gluteus minimus
206,c5 branch to spinalis capitis
207,female superficial chest wall
208,nerve to latissimus dorsi (2)
209,anterior communicating artery
210,left superior parietal lobule
211,subdivision of linear nucleus
212,eponychium of left fourth toe
213,belly of left vastus medialis
214,set of occipitopontine fibers
215,right prostatic venous plexus
216,left abductor pollicis brevis
217,medullary ray of right kidney
218,superior right pulmonary vein
219,t1 branch to right multifidus
220,cortex of right parietal lobe
221,cavernous plexus of turbinate
222,set of thoracic spine vessels
223,left utriculo-ampullary nerve
224,right accessory cephalic vein
225,subdivision of nervous system
226,base of left coracoid process
227,trunk of sixth cervical nerve
228,posterior surface of prostate
229,tubal extremity of left ovary
230,right fourth thoracic rotator
231,medial inguinal fossa (space)
232,tectorial membrane of cochlea
233,superior part of left scapula
234,surface of left hypochondrium
235,lumen of right lymphatic duct
236,c5 root of right radial nerve
237,region of wall of greater sac
238,serosa of zone of gallbladder
239,median ridge of right patella
240,l5 branch to right multifidus
241,anterior hypothalamic nucleus
242,first lumbrical of right hand
243,submucosa of descending colon
244,gerdy tubercle of right tibia
245,left gastric lymphatic vessel
246,neural network of left temple
247,right pontomesencephalic vein
248,fimbria of right uterine tube
249,set of thalamoparietal fibers
250,habenulointerpeduncular tract
251,left lateral palpebral artery
252,posterior surface of pancreas
253,right medial preoptic nucleus
254,branch of lumbar nerve plexus
255,root of fourth thoracic nerve
256,diaphysis of phalanx of thumb
257,tendon of sternocleidomastoid
258,left intermediate gray matter
259,upper paratracheal lymph node
260,vestibular part of lesser sac
261,left seventh thoracic rotator
262,branch of labyrinthine artery
263,epithelium of body of stomach
264,neural network of left atrium
265,rootlet of first sacral nerve
266,c6 branch to right multifidus
267,sulcal segment of left cuneus
268,promontory of tympanic cavity
269,right eighth thoracic rotator
270,brodmann area 39 of precuneus
271,right transverse pontine vein
272,orifice of right uterine tube
273,infraclavicular part of chest
274,central region of left breast
275,surface of anatomical cluster
276,left external laryngeal nerve
277,root of eighth cervical nerve
278,right medial occipital artery
279,rootlet of third lumbar nerve
280,set of cranial nerve branches
281,epithelium of pancreatic duct
282,muscle layer of ureter proper
283,left intermediomedial nucleus
284,efferent glomerular arteriole
285,trunk of left mylohyoid nerve
286,flexor pollicis brevis muscle
287,right medial occipital border
288,left inferior cerebellar vein
289,c7 branch to right multifidus
290,ventral premammillary nucleus
291,third lumbar splanchnic nerve
292,medial border of left scapula
293,nerve to left palmaris longus
294,t5 branch to spinalis capitis
295,common flexor pronator tendon
296,right flocculus of cerebellum
297,distal epiphysis of left ulna
298,vasculature of abdominal wall
299,right anterior ethmoidal vein
300,trunk of right axillary nerve
301,retro-aortic lymphatic vessel
302,subserosa of transverse colon
303,first lumbar splanchnic nerve
304,proximal tendon of brachialis
305,lamina propria of gallbladder
306,greater tuberosity of humerus
307,fourth interspinalis cervicis
308,nerve to infraspinatus muscle
309,right coracoid process proper
310,nerve to third levator costae
311,cortex proper of right kidney
312,serosa of body of gallbladder
313,c6 branch to scalenus minimus
314,subserosa of zone of duodenum
315,posterior tibiotalar ligament
316,right gigantocellular nucleus
317,set of ulnar nerves to finger
