,name
0,hormonal pathophysiologic process descriptor
1,pathophysiologic process descriptor
2,scattered fibroglandular densities
3,higher probability of malignancy
4,polyp morphology characteristic
5,threshold growth (liver mass)
6,bone forming characteristic
7,amount of joint involvement
8,intermediately aggressive
9,aggressiveness descriptor
10,too small to characterize
11,lamellated or onion skin
12,composition descriptor
13,greater than 14 weeks
14,margin characteristic
15,lesional iron sparing
16,distribution pattern
17,predominantly cystic
18,solidness descriptor
19,perfusion alteration
20,lesional fat sparing
21,coarse heterogeneous
22,greater than 1 hour
23,decreased in height
24,post-vertebroplasty
25,predominantly fatty
26,diameter stability
27,callback technical
28,diameter reduction
29,androgen producing
30,less than 14 weeks
31,arthritis serology
32,diameter increase
33,thick interrupted
34,hemidiaphragmatic
35,intralesional fat
36,postinflammatory
37,fibroatelectatic
38,subdiaphragmatic
39,aorticopulmonary
40,thin interrupted
41,DeBakey type III
42,fine pleomorphic
43,lipid containing
44,gently lobulated
45,less than 1 hour
46,typically benign
47,intraparenchymal
48,arteriosclerotic
49,taller-than-wide
50,thick continuous
51,completely solid
52,fibroatalectatic
53,post-transplant
54,non-hemorrhagic
55,esophagogastric
56,DeBakey type II
57,cardiopulmonary
58,asymmetric size
59,elevated amount
60,thin continuous
61,hypoventilatory
62,post-fatty-meal
63,non-destructive
64,marginalunusual
65,reticulonodular
66,brachiocephalic
67,partially solid
68,atherosclerotic
69,Stanford type A
70,bronchovascular
71,investigational
72,age appropriate
73,lucent-centered
74,Stanford type B
75,hyperinflation
76,transependymal
77,gas containing
78,pachymeningeal
79,fat-containing
80,DeBakey type I
81,intraoperative
82,osteosclerotic
83,leptomeningeal
84,bronchiectatic
85,non-aggressive
86,symmetric size
87,osteoarthritic
88,cardiothoracic
89,serosanguinous
90,aortopulmonary
91,multilobulated
92,staphylococcus
93,air containing
94,post-procedure
95,pauciarticular
96,posterolateral
97,microlobulated
98,large rod-like
99,hypermetabolic
100,posttraumatic
101,indeterminate
102,well-inflated
103,consolidative
104,cartilaginous
105,postoperative
106,diaphragmatic
107,discontiguous
108,mycobacterial
109,transthoracic
110,bidirectional
111,non-caseating
112,periarticular
113,hypoinflation
114,disappearance
115,hyperinflated
116,cardiophrenic
117,uninterrupted
118,post-contrast
119,developmental
120,fibrocalcific
121,architectural
122,parapneumonic
123,perpendicular
124,post-exercise
125,heterogeneous
126,midepigastric
127,cephalocaudal
128,emphysematous
129,circumscribed
130,non-expansile
131,insignificant
132,subcentimeter
133,posteromedial
134,polyarticular
135,proteinaceous
136,cephalocaudad
137,monoarticular
138,reconstructed
139,well inflated
140,straightened
141,interstitial
142,longitudinal
143,stereotactic
144,noncalcified
145,osteoblastic
146,atheromatous
147,hyperplastic
148,degenerative
149,nondisplaced
150,differential
151,inflammatory
152,macronodular
153,fibronodular
154,micronodular
155,dextroconvex
156,seronegative
157,post-therapy
158,osteoporotic
159,hypertensive
160,encapsulated
161,not parallel
162,asymptomatic
163,pre-contrast
164,insufficient
165,overinflated
166,hyperlucency
167,postsurgical
168,lymphangitic
169,wedge-shaped
170,seropositive
171,hypoinflated
172,fluoroscopic
173,infiltrative
174,endovascular
175,perifissural
176,laparoscopic
177,asymmetrical
178,mostly solid
179,bronchogenic
180,multilocular
181,hypertrophic
182,hyperaerated
183,preoperative
184,pedunculated
185,conglomerate
186,pneumococcal
187,fibropleural
188,consolidated
189,subsegmental
190,constricted
191,prevascular
192,hemorrhagic
193,subpulmonic
194,homogeneous
195,anastomotic
196,early onset
197,complicated
198,progressive
199,hypoplastic
200,spondylitic
201,adenomatous
202,curvilinear
203,hypokinetic
204,hypogastric
205,spontaneous
206,degenerated
207,preliminary
208,haemophilus
209,multi-lumen
210,spondylotic
211,implantable
212,near-atomic
213,high riding
214,territorial
215,superficial
216,serpiginous
217,invaginated
218,artifactual
219,collagenous
220,multi lumen
221,drop-shaped
222,macroscopic
223,destructive
224,retroverted
225,significant
226,obstructive
227,atelectatic
228,postsurgery
229,restrictive
230,microscopic
231,symptomatic
232,perihepatic
233,retroflexed
234,noninvasive
235,accentuated
236,transaortic
237,approximate
238,inspiratory
239,hemispheric
240,pleomorphic
241,spoke-wheel
242,cardiogenic
243,osteophytic
244,parenchymal
245,exaggerated
246,ventilatory
247,substantial
248,innumerable
249,hyperlucent
250,more than 5
251,nonspecific
252,fine linear
253,uncalcified
254,fibrocystic
255,symmetrical
256,suprasellar
257,rectangular
258,additional
259,concentric
260,hereditary
261,prosthetic
262,inadequate
263,virilizing
264,mesenteric
265,dystrophic
266,expiratory
267,hyperacute
268,osteopenic
269,demarcated
270,on a stalk
271,plate-like
272,unilocular
273,indistinct
274,sufficient
275,plaquelike
276,epigastric
277,spongiform
278,dislocated
279,repetitive
280,neurogenic
281,interspace
282,congestive
283,too little
284,coalescent
285,feminizing
286,dessicated
287,elliptical
288,incomplete
289,conntected
290,terminated
291,metastatic
292,unresolved
293,incidental
294,spiculated
295,lipid poor
296,diminished
297,pathologic
298,retractile
299,diagnostic
300,decreasing
301,electrical
302,sclerosing
303,cavitating
304,descending
305,radiologic
