,name
0,transcutaneous electrical neural stimulation unit
1,endocavitary curved linear array transducer
2,restricted field of view body gradient coil
3,automated implantable cardiac defibrillator
4,solid-state crystal scintillation detector
5,solid-state ceramic scintillation detector
6,functional magnetic resonance imaging coil
7,intravascular rotating crystal transducer
8,less invasive stabilization system plate
9,intravascular rotating mirror transducer
10,peripheral intravenous central catheter
11,programmable valve for shunt catheter
12,endocavitary annular array transducer
13,intravascular phased array transducer
14,endocavitary phased array transducer
15,transmit-receive radiofrequency coil
16,positron emission tomography camera
17,ACL graft polyester titanium button
18,endocavitary mechanical transducer
19,magnetic resonance imaging coil
20,sector annular array transducer
21,dorsal column stimulation unit
22,curved linear array transducer
23,rotating slant hole collimator
24,vector phased array transducer
25,endocavitary linear transducer
26,sector phased array transducer
27,cardiac rhythm therapy device
28,partial ossicular replacement
29,continuously rotating tube CT
30,primary transmit-receive coil
31,intracranial pressure monitor
32,temperature monitoring device
33,low profile balloon catheter
34,transmit radiofrequency coil
35,internally cooled applicator
36,sector mechanical transducer
37,mechanical sector transducer
38,arthroplasty implant device
39,straight cluster applicator
40,receive radiofrequency coil
41,fourth generation CT device
42,unicompartmental prosthesis
43,umbilical arterial catheter
44,total ossicular replacement
45,flexible diffuser laser tip
46,second generation CT device
47,periarticular locking plate
48,ventriculoperitoneal shunt
49,first generation CT device
50,linear resistive shim coil
51,transesophageal transducer
52,straight single applicator
53,percutaneous drainage tube
54,ceramic surgical implement
55,electroencephalogram probe
56,platinum embolization coil
57,third generation CT device
58,particulate embolic agent
59,scattering dome laser tip
60,epicardial pacemaker wire
61,standard balloon catheter
62,portion of medical device
63,temporary pacemaker patch
64,superconducting shim coil
65,dynamic compression screw
66,titanium interbody spacer
67,single-element transducer
68,denture prosthetic device
69,single crystal transducer
70,umbilical venous catheter
71,cerebrospinal fluid shunt
72,fully constrained implant
73,non-mechanical transducer
74,dynamic compression plate
75,demineralized bone matrix
76,intraaortic balloon pump
77,Xenon ionization chamber
78,split crystal transducer
79,multi-element transducer
80,seven-pinhole collimator
81,internally inserted coil
82,nasoenteric feeding tube
83,whole body gradient coil
84,sector phased transducer
85,prosthetic cardiac valve
86,birds nest venous filter
87,stationary multi-channel
88,silicone breast implant
89,curved array transducer
90,central venous catheter
91,phased array transducer
92,endocavitary transducer
93,localized transmit coil
94,steel embolization coil
95,linear array transducer
96,gastrojejuenostomy tube
97,endovascular transducer
98,semiconstrained implant
99,localized gradient coil
100,hemiarthroplasty device
101,syringoperitoneal shunt
102,brachytherapy catheter
103,ventriculoatrial shunt
104,nonconstrained implant
105,multi-tined applicator
106,denture retention post
107,bone stimulator device
108,drug delivery catheter
109,venous access catheter
110,endovaginal transducer
111,vagus nerve stimulator
112,localized receive coil
113,electrocardiogram lead
114,interfragmentary screw
115,nonhydrophilic dilator
116,nuclear imaging device
117,spinal fixation device
118,lumboperitoneal shunt
119,ultrasound transducer
120,high-pressure balloon
121,ACL graft suture post
122,saline breast implant
123,cardiac defibrillator
124,deep brain stimulator
125,electrical stimulator
126,tibial condylar plate
127,bone graft substitute
128,endoscopic transducer
129,endorectal transducer
130,mechanical transducer
131,other breast implant
132,standard pin fixator
133,low-pressure balloon
134,noncompliant balloon
135,cryoprobe applicator
136,reconstruction plate
137,perfusion applicator
138,contraceptive device
139,monopolar applicator
140,surface arthroplasty
141,multihole collimator
142,non-linear shim coil
143,electrode applicator
144,clinical transducer
145,interventional wire
146,silicon drift diode
147,interventional coil
148,combined transducer
149,radiofrequency coil
150,nonhydrophilic wire
151,arthroplasty device
152,hydrophilic dilator
153,recording electrode
154,suture anchor screw
155,intermedullary nail
156,intrauterine device
157,serrated needle tip
158,vertebral body cage
159,resistive shim coil
160,anti-ringing filter
161,ACL graft cross pin
162,shapeable wire tip
163,orbital prosthesis
164,diamond needle tip
165,orthopedic implant
166,iliac artery graft
167,drug delivery pump
168,surgical implement
169,ossicle prosthesis
