,name
0,cervical intervertebral level
1,thoracic intervertebral level
2,lumbar intervertebral level
3,sacral intervertebral level
4,intracorporus cavernosum
5,adjacent to gallbladder
6,unspecified laterality
7,distal super vena cava
8,through ilial conduit
9,ventriculoperitoneal
10,"intracoronal, dental"
11,coccygeal segment 1
12,subcapsular (liver)
13,coccygeal segment 3
14,coccygeal segment 2
15,intra-salivery duct
16,interstitial route
17,subcapsular (disc)
18,intracartilaginous
19,depressed position
20,laterality present
21,cardiomediastinal
22,intra-sinus tract
23,elevated position
24,acromioclavicular
25,disc containment
26,tracheobronchial
27,gastrointestinal
28,enumeration term
29,ventriculoatrial
30,sternoclavicular
31,extraligamentous
32,intrapericardial
33,intraventricular
34,transligamentous
35,gastroesophageal
36,atrioventricular
37,bronchovascular
38,perimediastinal
39,peribronchiolar
40,cervicothoracic
41,intra-abdominal
42,intra-articular
43,paramediastinal
44,supraclavicular
45,extraperitoneal
46,infraclavicular
47,paracicatricial
48,intraperitoneal
49,intratesticular
50,transperitoneal
51,intraesophageal
52,subconjunctival
53,retroperitoneal
54,periventricular
55,intrameningeal
56,intralymphatic
57,mid myocardium
58,transplacental
59,intracavernous
60,suprapedicular
61,intra-amniotic
62,intrabronchial
63,intraepidermal
64,supratentorial
65,intramedullary
66,retroglandular
67,intrapulmonary
68,intrapedicular
69,intraprostatic
70,epidural route
71,extracorporeal
72,extraforaminal
73,intra-arterial
74,intracorporeal
75,costovertebral
76,infrapedicular
77,intracisternal
78,infratentorial
79,cardiovascular
80,transcutaneous
81,intratendinous
82,extra-amniotic
83,paraesophageal
84,subligamentous
85,extraprostatic
86,transabdominal
87,transpedicular
88,intervertebral
89,acromiohumeral
90,peribronchial
91,perilymphatic
92,endobronchial
93,thoracolumbar
94,contralateral
95,with implants
96,inferolateral
97,anterolateral
98,centrilobular
99,transperineal
100,transtracheal
101,deep position
102,transtympanic
103,submembranous
104,intragingival
105,intrasynovial
106,intralesional
107,intra-bladder
108,intracerebral
109,superolateral
110,costochondral
111,periarticular
112,biventricular
113,intracoronary
114,subclavicular
115,intratympanic
116,intracavitary
117,cephalization
118,retropectoral
119,intravascular
120,oropharyngeal
121,disc location
122,intramuscular
123,transurethral
124,transarterial
125,intrathoracic
126,intraduodenal
127,conjunctival
128,transhepatic
129,intragastric
130,intracranial
131,transmucosal
132,anteroseptal
133,endocervical
134,transsternal
135,supralevator
136,appendicular
137,intraovarian
138,intravitreal
139,costophrenic
140,craniocaudal
141,paratracheal
142,endosinusial
143,supraclinoid
144,glenohumeral
145,retrocardiac
146,intracorneal
147,intrapleural
148,dextrorotary
149,inferoseptal
150,perivascular
151,intravesical
152,intratubular
153,transglottic
154,transjugular
155,subcutaneous
156,anteromedial
157,intracoronal
158,interlobular
159,intrauterine
160,extracranial
161,intrabiliary
162,subarticular
163,transvaginal
164,subarachnoid
165,extrapleural
166,intracardiac
167,intraluminal
168,transpleural
169,circumaortic
170,percutaneous
171,endotracheal
172,retrosternal
173,intradiscal
174,superficial
175,intraductal
176,bronchiolar
177,pericardial
178,intravenous
179,intraspinal
180,intradermal
181,intrathecal
182,subcoracoid
183,perilobular
184,mediastinal
185,dural based
186,nasogastric
187,parasternal
188,endoluminal
189,ventricular
190,intercostal
191,midthoracic
192,antecubital
193,intracaudal
194,subacromial
195,transdermal
196,transvenous
197,subcortical
198,periodontal
199,intraocular
200,retroaortic
201,intrabursal
202,transrectal
203,respiratory
204,retrobulbar
205,anterobasal
206,intertarsal
207,infrarenal
208,extramural
209,mandibular
210,perirectal
211,cavoatrial
212,infrahilar
213,sublingual
214,suprarenal
215,laterality
216,atriocaval
217,pre-aortic
218,peripheral
219,subcarinal
220,venoatrial
221,extraaxial
222,substernal
223,paraspinal
224,epicardial
225,intraaxial
226,clavicular
227,thirteenth
228,intraileal
229,paraseptal
230,midportion
231,parovarian
232,perineural
233,intradural
234,dislocated
235,esophageal
236,intestinal
237,ophthalmic
238,suprahilar
239,intramural
240,suprapubic
241,intrasinal
242,peritoneal
243,paraaortic
244,subpleural
245,presternal
246,unilateral
247,ischioanal
248,submucosal
249,periosteal
250,retropubic
251,mid-level
252,medullary
253,cavernous
254,vertebral
