,name
0,chronic obstructive pulmonary disease
1,Dyke-Davidoff-Masson syndrome
2,molar tooth sign of inner ear
3,bland thrombus in portal vein
4,internal air bronchogram sign
5,multiple concentric ring sign
6,cytomegalic inclusion disease
7,injury due to known mechanism
8,conjugated hyperbilirubinemia
9,idiopathic pulmonary fibrosis
10,delayed phase hypoenhancement
11,bird's beak sign of esophagus
12,nonoxidant aerosol inhalation
13,bacterial overgrowth syndrome
14,lymphatic-venous malformation
15,spindle cell synovial sarcoma
16,pleomorphic xanthoastrocytoma
17,tumor thrombus in portal vein
18,spoke wheel pattern of kidney
19,Langerhans cell histiocytosis
20,bone-scan double density sign
21,infantile dermal fibromatosis
22,lucent-centered calcification
23,hereditary cerebellar atrophy
24,neuroepitheliomatous neoplasm
25,category 3 actionable finding
26,normal-pressure hydrocephalus
27,juvenile rheumatoid arthritis
28,liver hypertrophic pseudomass
29,coronary artery calcification
30,polyostotic fibrous dysplasia
31,milk of calcium calcification
32,type 3 Endplate marrow change
33,hyperammonemic encephalopathy
34,clostridium difficile colitis
35,arterial phase isoenhancement
36,postsurgical fluid collection
37,iliopsoas-gluteus medius sign
38,type 1 Endplate marrow change
39,malignant fibrous histocytoma
40,hypertrophic osteoarthropathy
41,peripheral washout appearance
42,other silicate pneumoconiosis
43,type 2 Endplate marrow change
44,absent collecting duct system
45,category 1 actionable finding
46,moderately ill-defined margin
47,dilated transverse colon sign
48,neuronal intestinal dysplasia
49,extraocular muscle entrapment
50,radiation-induced esophagitis
51,Gorham vanishing bone disease
52,category 2 actionable finding
53,hypertrophic pyloric stenosis
54,congenital agammaglobulinemia
55,intercostal bulging lung sign
56,desmoplastic small cell tumor
57,intestinal pseudo-obstruction
58,adenomatoid odontogenic tumor
59,amyotrophic lateral sclerosis
60,injury due to chemical trauma
61,Salter-Harris type V fracture
62,hypoplasia of right ventricle
63,helicobacter pylori gastritis
64,Salter-Harris type I fracture
65,persistent truncus arteriosus
66,musculoskeletal crescent sign
67,perfusion imaging observation
68,hereditary multiple exostoses
69,body-system-specific disorder
70,papillary cystadenocarcinoma
71,large rod-like calcification
72,homogeneous mass enhancement
73,malignant neoplasm of ureter
74,chronic obstructive uropathy
75,malignant neoplasm of pelvis
76,lollipop sign of diverticula
77,malignant neoplastic disease
78,eosinophilic gastroenteritis
79,clear cell odontogenic tumor
80,chiari malformation type III
81,juvenile aponeurotic fibroma
82,step-off vertebral body sign
83,subarticular spinal stenosis
84,multiple regions enhancement
85,dialysis spondyloarthropathy
86,vascular entrapment syndrome
87,desmoplastic medulloblastoma
88,inflammatory polyarthropathy
89,lymphoproliferative disorder
90,double popliteus tendon sign
91,lobular capillary hemangioma
92,Mickey Mouse sign of bladder
93,anaplastic oligodendroglioma
94,juxtacortical chondrosarcoma
95,cirrhosis-associated nodules
96,disorder of endocrine system
97,anaplastic thyroid carcinoma
98,synovial osteochondromatosis
99,metachromatic leukodystrophy
100,mild central spinal stenosis
101,picture frame vertebral body
102,Chopart fracture-dislocation
103,benign prostatic hyperplasia
104,nonalcoholic steatohepatitis
105,bacterial infectious disease
106,infection by tapeworm larvae
107,fragmented staghorn calculus
108,dedifferentiated liposarcoma
109,lacrimal orbital pseudotumor
110,femoroacetabular impingement
111,arthritis of hemochromatosis
112,lesion matrix characteristic
113,failed back surgery syndrome
114,loin pain hematuria syndrome
115,enhancing internal septation
116,temporal enhancement pattern
117,acute interstitial pneumonia
118,invasion enhancement pattern
119,congenital anomaly of uterus
120,flexion distraction fracture
121,functional disorder of colon
122,nodular ganglioneuroblastoma
123,extramedullary hematopoiesis
124,atypical lobular hyperplasia
125,bronchioloalveolar carcinoma
126,central pontine myelinolysis
127,intestinal pseudoobstruction
128,odontogenic ghost cell tumor
129,progressive massive fibrosis
130,periosteal cortical thinning
131,lumbar interspinous bursitis
132,hypervolemic pulmonary edema
133,no discernible lesion matrix
134,non-mass enhancement pattern
135,usual interstitial pneumonia
136,thoracic imaging enhancement
137,tram track sign of bone scan
138,musculoskeletal degeneration
139,bone mineralization disorder
140,persistent fetal circulation
141,chiari malformation type IV
142,pelvic inflammatory disease
143,spatial enhancement pattern
144,subpleural curvilinear line
145,beehive-on-the-bladder sign
146,anaplastic oligoastrocytoma
147,microcalcifications in mass
148,chiari malformation type II
149,congenital anomaly of spine
150,emphysematous cholecystitis
151,ring-around-the-artery sign
152,hyperlucent hemithorax sign
153,communicating hydrocephalus
154,lymphomatoid granulomatosis
155,post-immunization arthritis
156,broad based disc protrusion
157,cardiogenic pulmonary edema
158,inhalation-induced disorder
159,myeloproliferative disorder
160,diffuse orbital pseudotumor
161,mineral deposition disorder
162,circumferential enhancement
163,monosodium urate deposition
164,bull's-eye sign of GI tract
165,calcifying odontogenic cyst
166,abdominal fat necrosis sign
167,comet-tail artifact (large)
168,hypotensive nephrogram sign
169,telangiectatic osteosarcoma
170,pineal parenchymal neoplasm
171,degenerative brain disorder
172,dense metaphyseal band sign
173,melanocytic medulloblastoma
174,hamartoma of tuber cinereum
175,moderately irregular margin
176,cortical ring sign of wrist
177,calcaneonavicular coalition
178,atypical ductal hyperplasia
179,comet-tail artifact (small)
180,transitional cell carcinoma
181,molar tooth sign of bladder
182,disorder of immune function
183,snowstorm pattern of breast
184,hypertrophic cardiomyopathy
185,bullet-shaped vertebra sign
186,focal hepatic hot spot sign
187,part-solid pulmonary nodule
188,tuberous sclerosis syndrome
189,leukocytoclastic vasculitis
190,main en lorgnette deformity
191,cardiac double density sign
192,congenital anomaly of brain
193,cholangiocellular carcinoma
194,peripheral vascular disease
195,Charcot-Marie-Tooth disease
196,chondroblastic osteosarcoma
197,ameloblastic fibro-odontoma
198,double spinous process sign
199,endosteal cortical thinning
200,intraarticular osseous body
201,methylmethacrylate embolism
202,snowstorm pattern of uterus
203,sonographic bull's-eye sign
204,congenital hepatic fibrosis
205,postpericardiotomy syndrome
206,ameloblastic fibrodentinoma
207,acquired tufted haemangioma
208,malignant odontogenic tumor
209,central odontogenic fibroma
210,gonadal dysgenesis syndrome
211,popcorn calcification sign
